participant,fluency_score,school,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,SecondLang_score1,SecondLang_type1,SecondLang_score2,SecondLang_type2,SecondLang_score3,SecondLang_type3,SecondLang_score4,SecondLang_type4,SecondLang_score5,SecondLang_type5,SecondLang_score6,SecondLang_type6,SecondLang_score7,SecondLang_type7,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety,num_Seclanguages,avg_score,SameLang_pri,SameLang_Mult
SW-0131,51,SUNWAY,21.069072806471684,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,Mandarin,90,English,50,Malay,40,Cantonese,20,Hokkien,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes,3,76.66666666666667,Same,Same
SW-0132,37,SUNWAY,22.030714285714286,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Chinese,English,80,English,50,Chinese,50,Malay,50,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,4,57.5,Different,Same
SW-0239,20,SUNWAY,20.55980087118855,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Malay,Yes,English,English,100,English,50,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes,1,50,Different,Different
SW-0344,29,SUNWAY,21.781692655636235,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,English,No,English,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,5,Yes,Yes,Yes,No,NA,NA,Same,Same
SW-0345,47,SUNWAY,20.379091474797757,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,English,Yes,Chinese,Chinese,80,Mandarin,70,Hokkien,60,Cantonese,70,Malay,NA,NA,0,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,No,4,70,Different,Different
SW-0346,43,SUNWAY,20.97050404480398,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Chinese,Chinese,90,Cantonese,30,Malay,60,Chinese,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,7,No,Yes,Yes,No,2,75,Different,Different
SW-0347,25,SUNWAY,20.647417548226507,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Chinese,Yes,Chinese,English,90,Cantonese,100,Chinese,90,English,70,Malay,0,NA,NA,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,Yes,3,83.33333333333333,Same,Different
SW-0348,30,SUNWAY,20.795270690728064,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,80,English,70,Malay,90,Cantonese,60,Hokkien,50,Korean,NA,NA,NA,NA,Public,No,No,Yes,Yes,7,No,Yes,Yes,No,5,70,Same,Same
SW-0350,19,SUNWAY,20.34897324206596,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,English,English,80,Malay,90,English,0,NA,NA,NA,0,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,2,85,Different,Different
SW-2025,44,SUNWAY,22.101904761904763,Male,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, both parents",Left,No,English,Yes,English,English,80,Chinese,30,Malay,90,English,0,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,No,9,No,No,Yes,No,2,85,Same,Same
SW-2109,26,SUNWAY,20.425637834474173,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,70,English,60,Malay,50,Cantonese,0,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,Yes,Yes,4,No,Yes,Yes,Yes,3,60,Same,Same
SW-2110,56,SUNWAY,21.1156191661481,Female,Malaysian,Chinese,Sophomore/Second Year,NA,"Yes, father only",Right,Yes,Chinese,Yes,Chinese,Chinese,80,English,60,Malay,40,Teochew,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,9,No,Yes,Yes,No,2,70,Same,Same
SW-2111,34,SUNWAY,20.94312383322962,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,50,BM,50,Hokkien,60,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,7,No,No,Yes,Yes,4,57.5,Same,Same
SW-2112,32,SUNWAY,18.409308692676248,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,english,20,malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,8,No,No,Yes,Yes,1,80,Same,Same
SW-2114,57,SUNWAY,19.589960886571056,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,English,90,Mandarin,80,Cantonese,60,Malay,10,French,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,8,No,No,Yes,No,4,80,Same,Same
SW-2115,33,SUNWAY,19.302477183833116,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,90,English,70,Cantonese,30,Malay,30,Hakka,100,Mandarin,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,7,No,Yes,Yes,No,2,80,Same,Same
SW-2117,44,SUNWAY,20.165525824517733,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,Yes,Chinese,Yes,Chinese,Chinese,80,English,20,MALAY,30,Cantonese,20,Hokkien,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,8,No,Yes,Yes,No,1,80,Same,Same
SW-2118,37,SUNWAY,19.592698826597132,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,50,Malay,80,Hokkien,90,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,Yes,Yes,7,No,Yes,Yes,No,4,72.5,Same,Same
SW-2119,30,SUNWAY,18.863791923340177,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,60,Mandarin,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes,1,60,Different,Different
SW-2120,33,SUNWAY,19.948631029986963,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Chinese,Yes,Chinese,Chinese,60,English,20,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,NA,No,No,No,Yes,1,60,Same,Same
SW-2121,47,SUNWAY,19.73780964797914,Male,Malaysian,Indigenous,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,No,English,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,No,8,No,Yes,Yes,Yes,NA,NA,Same,Same
SW-2124,33,SUNWAY,20.625513378967018,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,80,English,70,Malay,60,Hokkien,50,Teochew,100,Mandarin,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,10,No,Yes,Yes,No,4,65,Same,Same
SW-2126,48,SUNWAY,20.31337896701929,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,Chinese,Yes,Chinese,Chinese,90,English,100,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,8,No,Yes,Yes,No,1,90,Same,Same
SW-2131,28,SUNWAY,20.70217797137523,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,Chinese,70,English,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,7,No,Yes,Yes,No,3,70,Same,Same
SW-2132,42,SUNWAY,19.50782268578879,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,Chinese,90,Chinese,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,No,9,Yes,No,Yes,Yes,1,90,Same,Different
SW-2133,24,SUNWAY,22.611909650924023,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,English,70,Bahasa Malaysia,30,Mandarin,30,Cantonese,0,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,3,No,No,No,Yes,1,70,Same,Same
SW-2201,18,SUNWAY,20.929433727442436,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,Yes,English,Yes,English,English,40,Hokkien,40,Bahasa Melayu,10,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,5,No,Yes,Yes,No,NA,NA,Same,Same
SW-2203,53,SUNWAY,21.21692594897324,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Chinese,Yes,Chinese,Chinese,80,English,70,Malay,80,Cantonese,60,Hokkien,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,7,No,No,Yes,No,4,72.5,Same,Same
SW-2206,23,SUNWAY,23.806264374110174,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,Mandarin,60,Hokkien,60,English,50,Cantonese,30,Malay,20,Korean,NA,NA,Vernacular,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes,4,62.5,Same,Same
SW-2207,45,SUNWAY,20.672059738643433,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,100,Chinese,80,English,60,Malay,60,Cantonese,NA,NA,NA,NA,0,NA,Vernacular,No,Yes,No,No,10,No,No,No,No,3,66.66666666666667,Same,Same
SW-2210,49,SUNWAY,19.190221642764016,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,English,60,Mandarin,30,Bahasa Malaysia,0,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,Yes,Yes,9,No,No,Yes,No,2,70,Same,Same
SW-2211,20,SUNWAY,23.64198882926295,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,Yes,English,Yes,Chinese,Chinese,50,Mandarin Chinese,20,Malay,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,4,No,Yes,Yes,Yes,1,50,Different,Different
SW-2212,35,SUNWAY,20.45575606720597,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,Msia Indian Languages,Yes,English,English,100,Tamil,80,Malay,50,Hindi,100,English,0,-,NA,-,NA,-,Vernacular,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes,2,65,Different,Different
SW-2216,28,SUNWAY,21.428333333333335,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,Msia Indian Languages,Yes,Malay,Malay,90,English,80,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,No,No,Yes,7,Yes,Yes,Yes,Yes,2,85,Different,Different
SW-2217,21,SUNWAY,20.7980087118855,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,Chinese,Yes,Chinese,Chinese,90,English,80,Mandarin,NA,Bahasa Melayu,50,Cantonese,60,Hakka,10,Hokkien,0,-,Vernacular,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes,4,70,Same,Same
SW-2221,38,SUNWAY,20.518730553827005,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,Yes,English,Yes,English,Malay,80,Malay,70,Tamil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,8,No,Yes,Yes,No,2,75,Same,Different
SW-2222,42,SUNWAY,21.74595238095238,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,English,English,100,Chinese,60,English,30,Malay,0,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,4,No,No,Yes,No,1,60,Different,Different
SW-2227,50,SUNWAY,21.02252644679527,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Unspecified,NA,70,English,60,Malay,60,Hokkien,50,Cantonese,NA,NA,NA,NA,NA,NA,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified,4,60,Different,NA
SW-2229,40,SUNWAY,20.767890479153703,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,100,Chinese,70,English,60,Malay,70,Cantonese,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes,3,66.66666666666667,Same,Same
SW-2230,44,SUNWAY,23.10198494182067,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified,NA,NA,Different,NA
SW-2231,32,SUNWAY,21.789761904761907,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,NA,Yes,Chinese,Chinese,80,Malay,100,English,80,Chinese,80,Hokkien,50,Korean,NA,NA,NA,NA,Vernacular,No,Yes,Yes,Yes,5,No,No,Yes,Yes,4,72.5,NA,NA
SW-2233,45,SUNWAY,20.26957062850031,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,80,English,60,Malay,80,Cantonese,50,Hokkien,30,Hainanese,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,7,No,No,Yes,No,4,67.5,Same,Same
SW-2234,27,SUNWAY,20.81169881767268,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,90,English,100,Cantonese,20,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,5,No,Yes,Yes,Yes,1,90,Same,Same
SW-2235,49,SUNWAY,20.526944617299314,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Chinese,Yes,Chinese,Chinese,60,English,60,Malay,20,Hakka,30,Cantonese,0,NA,0,NA,0,NA,Vernacular,No,Yes,No,No,7,No,No,Yes,Yes,2,60,Same,Same
SW-2236,45,SUNWAY,21.134785314250156,Male,Malaysian,Chinese,Junior/Third Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,70,Chinese,100,English,60,Malay,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,7,No,Yes,Yes,No,2,65,Same,Same
SW-2246,52,SUNWAY,22.275154004106778,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,100,English,40,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,10,No,No,Yes,No,NA,NA,Same,Same
SW-2247,32,SUNWAY,19.828161668839634,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,English,Yes,English,English,60,Cantonese,90,Malay,100,English,20,Korean,70,Mandarin,NA,NA,NA,NA,Private,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes,3,73.33333333333333,Same,Same
SW-2248,37,SUNWAY,23.65841638374767,Male,Malaysian,Chinese,Graduate Student,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,100,English,40,Malay,20,Cantonese,0,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,6,No,No,Yes,Yes,NA,NA,Same,Same
SW-2261,25,SUNWAY,21.049906658369633,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, father only",Right,Yes,English,Yes,English,Malay,100,English,70,Malay,20,Tamil,NA,NA,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,No,No,7,No,Yes,Yes,Yes,1,70,Same,Different
SW-2263,15,SUNWAY,22.639288158795345,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,English,Yes,Malay,English,100,Malay,50,Korean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,3,No,Yes,Yes,Yes,1,50,Different,Same
SW-2264,35,SUNWAY,20.885625388923458,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,Chinese,Chinese,100,Mandarin,70,Japanese,100,Malay,30,French,0,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,6,No,No,No,No,1,70,Different,Different
SW-2266,39,SUNWAY,20.756938394523957,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,40,Malay,50,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,No,2,60,Same,Same
SW-2273,27,SUNWAY,19.95684485006519,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, both parents",Right,Yes,English,Yes,English,English,70,Bahasa Malaysia,40,Hindi,50,Mandarin,40,Punjabi,NA,-,NA,-,NA,-,Public,Yes,Yes,No,Yes,6,Yes,Yes,Yes,Yes,2,60,Same,Same
SW-2277,58,SUNWAY,20.20385812072184,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,Chinese,80,English,60,Hokkien,50,Malay,60,Teochew Dialect,NA,NA,NA,NA,Public,No,Yes,No,Yes,9,No,Yes,Yes,Yes,5,66,Same,Same
SW-2283,23,SUNWAY,21.715833333333332,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,English,English,90,English,90,Malay,40,Tamil,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,No,No,Yes,4,No,Yes,Yes,No,2,90,Same,Same
SW-2286,50,SUNWAY,21.044430616054758,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,80,Mandarin,50,English,40,Malay,30,Cantonese,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,5,Unspecified,Unspecified,Unspecified,Unspecified,2,65,Same,Same
SW-2287,31,SUNWAY,20.294212818917234,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,70,CHINESE,40,MALAY,40,NA,NA,NA,100,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,6,No,Yes,Yes,No,1,70,Different,Different
SW-2288,23,SUNWAY,20.14302477183833,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,30,Hokkien,NA,Cantonese,60,Malay,20,Chinese,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,7,No,Yes,Yes,No,1,60,Different,Different
SW-2289,26,SUNWAY,24.209351305812973,Female,Malaysian,Eurasian,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,English,90,Malay,10,French,0,NA,0,NA,NA,NA,NA,NA,NA,NA,Public,Yes,No,Yes,Yes,3,No,Yes,Yes,Yes,1,90,Same,Same
SW-2290,51,SUNWAY,20.21754822650902,Female,Malaysian,Chinese,Sophomore/Second Year,NA,No,Right,No,Chinese,Yes,Chinese,Chinese,100,Chinese,80,English,90,Hokkien,80,Cantonese,60,Malay,NA,NA,NA,NA,Unspecified,No,Yes,Yes,Yes,10,No,No,Yes,No,4,77.5,Same,Same
SW-2291,55,SUNWAY,19.357235984354627,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Left,No,Chinese,Yes,Chinese,English,70,English,30,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,10,No,No,Yes,No,1,70,Same,Different
SW-2293,50,SUNWAY,20.53789670192906,Female,Malaysian,Chinese,Junior/Third Year,Psychology,No,Right,No,Chinese,Yes,Chinese,English,90,Mandarin,80,English,40,Bahasa Malaysia,70,Hokkien,80,Cantonese,NA,-,NA,-,Vernacular,Yes,Yes,No,Yes,7,No,No,No,No,4,80,Same,Different
SW-2294,57,SUNWAY,20.42837585563161,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,English,Yes,English,English,10,Hokkien,40,Cantonese,90,English,80,Malay,60,Chinese,30,Japanese,NA,NA,Public,Yes,Yes,No,No,8,No,Yes,Yes,Yes,3,76.66666666666667,Same,Same
SW-2296,45,SUNWAY,20.781580584940883,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,Yes,English,Yes,Unspecified,NA,40,Mandarin,60,Cantonese,100,Malay,50,Korean,0,.,NA,.,NA,.,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified,2,55,Different,NA
SW-2297,41,SUNWAY,19.54341590612777,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,80,cantonese,100,english,50,malay,0,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,9,No,No,Yes,No,2,65,Same,Same
SW-2245,60,SUNWAY,21.35988095238095,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,English,English,90,Malay,20,Mandarin,10,Cantonese,0,NA,NA,NA,20,NA,NA,NA,Public,Yes,Yes,Yes,No,10,No,Yes,Yes,No,1,90,Same,Same
UN-2333,60,NOTTINGHAM,20.866459240821406,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,100,English,100,Mandarin,70,Malay,80,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,10,No,Yes,No,No,2,75,Same,Same
UN-22002,44,NOTTINGHAM,20.275046670815183,Female,Malaysian,Chinese,Junior/Third Year,Education,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,English,40,Malay,30,Hokkien,100,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,7,No,No,Yes,No,1,80,Same,Same
UN-22004,51,NOTTINGHAM,22.192261904761907,Female,Malaysian,Chinese,Junior/Third Year,Education,No,Right,No,Chinese,Yes,Chinese,Chinese,70,English,50,Malay,80,Hokkien,50,Cantonese,0,NA,0,NA,NA,NA,Vernacular,Yes,Yes,No,No,9,No,Yes,Yes,Yes,4,62.5,Same,Same
UN-22008,58,NOTTINGHAM,22.082738095238096,Male,Malaysian,Chinese,Junior/Third Year,Education,"Yes, both parents",Left,No,Chinese,Yes,Chinese,Chinese,70,Mandarin,60,English,20,Malay,30,Cantonese,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,No,8,No,Yes,Yes,No,2,65,Same,Same
UN-22009,60,NOTTINGHAM,28.003398791540786,Female,Malaysian,Eurasian,Junior/Third Year,Education,"Yes, father only",Right,No,English,Yes,English,English,70,Mandarin,40,Greek,30,Hakka,30,Cantonese,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,No,No,10,No,Yes,Yes,No,1,70,Same,Same
UN-22010,48,NOTTINGHAM,23.137577002053387,Female,Malaysian,Chinese,Junior/Third Year,Education,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,80,English,50,Malay,10,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,6,No,No,Yes,No,2,65,Same,Same
UN-22011,20,NOTTINGHAM,24.817186183656275,Male,Malaysian,Malay,Junior/Third Year,Education,"Yes, both parents",Right,No,English,Yes,English,English,70,Malay,10,Mandarin,10,Malaysian sign language,NA,NA,NA,NA,NA,NA,NA,NA,Homeschooling,Yes,Yes,No,Yes,7,No,Yes,Yes,No,1,70,Same,Same
UN-22012,49,NOTTINGHAM,22.088214285714287,Female,Malaysian,Malay,Junior/Third Year,Education,"Yes, both parents",Right,No,Malay,Yes,English,English,80,Malay,90,English,0,NA,0,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,No,9,No,Yes,Yes,No,2,85,Different,Different
UN-22015,40,NOTTINGHAM,21.32702380952381,Female,Malaysian,Chinese,Junior/Third Year,Education,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,70,English,50,Bahasa Melayu,40,Hakka,40,Cantonese,NA,NA,NA,NA,NA,NA,Vernacular,No,Yes,No,Yes,9,No,Yes,Yes,No,2,60,Same,Same
UN-22016,18,NOTTINGHAM,22.524298425735797,Female,Malaysian,Chinese,Junior/Third Year,Education,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,English,70,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,5,No,Yes,Yes,No,2,80,Same,Same
UN-22017,24,NOTTINGHAM,21.630952380952383,Female,Malaysian,Malay,Junior/Third Year,Education,"Yes, both parents",Right,Yes,English,Yes,English,English,100,English,60,Malay,0,NA,0,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,5,No,Yes,Yes,No,1,60,Same,Same
UN-22018,38,NOTTINGHAM,22.614647501711158,Female,Malaysian,Chinese,Junior/Third Year,Education,No,Right,No,Chinese,Yes,Chinese,Chinese,70,Chinese,60,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes,2,65,Same,Same
UN-22019,59,NOTTINGHAM,28.101963746223564,Female,Malaysian,Chinese,Graduate Student,Education,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,80,English,50,Malay,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,No,Yes,5,No,Yes,Yes,No,2,65,Same,Same
UN-22020,24,NOTTINGHAM,27.332609516616316,Male,Malaysian,Chinese,Graduate Student,Education,No,Right,No,English,Yes,Malay,Chinese,80,Hokkien,70,Cantonese,50,Mandarin,60,Bahasa Malaysia,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,2,No,Yes,Yes,Yes,4,65,Different,Different
UN-2311,42,NOTTINGHAM,19.85554106910039,Female,Malaysian,Chinese,Freshman/First Year,Education,"Yes, mother only",Right,No,Chinese,Yes,Chinese,Chinese,100,Mandarin,70,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,No,10,No,Yes,Yes,No,1,70,Same,Same
