participant,fluency_score,school,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,SecondLang_score1,SecondLang_type1,SecondLang_score2,SecondLang_type2,SecondLang_score3,SecondLang_type3,SecondLang_score4,SecondLang_type4,SecondLang_score5,SecondLang_type5,SecondLang_score6,SecondLang_type6,SecondLang_score7,SecondLang_type7,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety,num_Seclanguages,avg_score,SameLang_pri,SameLang_Mult
SW-2824,43,SUNWAY,18.602968727482345,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, father only",Right,No,Chinese,Yes,English,English,100,English,50,Malay,NA,Hokkein,50,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,No,8,No,Yes,Yes,No,1,50,Different,Different
SW-2816,24,SUNWAY,18.58380170053322,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,Yes,English,No,English,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,Yes,5,No,Yes,Yes,Yes,NA,NA,Same,Same
SW-2805,44,SUNWAY,18.765229295003422,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,No,Right,No,Chinese,Yes,Chinese,Chinese,80,Chinese,70,English,60,Cantonese,60,Malay,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,Yes,Yes,8,No,Yes,Yes,No,4,67.5,Same,Same
SW-2818,49,SUNWAY,32.0335186260682,Female,Malaysian,Indian,Sophomore/Second Year,Biomedical Sciences,No,Right,No,Msia Indian Languages,Yes,Malay,Malay,100,Malay,100,English,50,Tamil,NA,NA,100,NA,NA,NA,NA,NA,Public,No,Yes,No,No,9,No,Yes,Yes,Yes,1,50,Different,Different
SW-2814,51,SUNWAY,19.871968709256844,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,60,English,50,Malay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,Yes,Yes,7,No,No,No,No,2,55,Same,Same
SW-2804,25,SUNWAY,19.718001368925393,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, both parents",Right,No,English,Yes,Chinese,Chinese,100,English,60,Chinese,40,Malay,40,Cantonese,30,German,0,NA,0,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,1,60,Different,Different
SW-2811,27,SUNWAY,24.482532033731246,Female,Malaysian,Chinese,Freshman/First Year,NA,No,Left,No,NA,Yes,Chinese,Chinese,70,English,70,Melayu,60,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,10,No,No,No,No,3,66.66666666666667,NA,NA
SW-2793,27,SUNWAY,19.61122518822724,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,Yes,Chinese,Yes,Chinese,Chinese,90,English,50,Fookchou,50,Malay,30,Cantonese,NA,NA,0,NA,NA,NA,Public,No,Yes,No,No,5,No,No,Yes,No,3,63.333333333333336,Same,Same
UN-0449,55,SUNWAY,20.1129074315515,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, both parents",Right,No,English,Yes,English,English,50,Chinese,70,Malay,100,English,0,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,8,No,Yes,Yes,Yes,2,60,Same,Same
UN-0446,59,SUNWAY,18.90485968514716,Male,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, both parents",Right,Yes,Chinese,Yes,English,English,100,English,70,Bahasa Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,Yes,9,No,No,No,Yes,1,70,Different,Different
SW-2839,35,SUNWAY,19.529089664613277,Female,Malaysian,Malay,Freshman/First Year,Biomedical Sciences,"Yes, father only",Right,No,English,No,Malay,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,No,No,No,NA,NA,Different,Same
UN-0423,36,SUNWAY,19.29637234770705,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,60,English,60,Malay,NA,Cantonese,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,No,10,No,No,Yes,Yes,2,60,Same,Same
SW-2838,45,SUNWAY,20.09374185136897,Male,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, father only",Right,No,Chinese,Yes,Chinese,Chinese,90,English,60,Chinese,60,Malay,60,Hokkien,0,NA,NA,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,Yes,4,67.5,Same,Same
SW-2862,60,SUNWAY,19.921251629726207,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,"Yes, both parents",Right,Yes,Chinese,Yes,Chinese,Chinese,70,English,40,Hokkien,40,Malay,10,Japanese,10,Korean,20,Cantonese,NA,NA,Public,Yes,Yes,No,No,9,No,Yes,Yes,Yes,1,70,Same,Same
UN-0448,34,SUNWAY,20.57561929595828,Female,Malaysian,Chinese,Freshman/First Year,Biomedical Sciences,No,Right,No,Chinese,Yes,Chinese,Chinese,90,cantonese,0,hokkien,80,english,30,malay,NA,NA,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,5,No,Yes,No,No,2,85,Same,Same
UN-0447,36,SUNWAY,20.8281269446173,Female,Malaysian,Indian,Freshman/First Year,Biomedical Sciences,No,Right,No,Msia Indian Languages,Yes,Malay,English,100,English,100,Malay,100,Tamil,NA,NA,NA,NA,NA,NA,80,NA,Public,Yes,Yes,No,Yes,9,No,Yes,Yes,Yes,NA,NA,Different,Different
