participant,fluency_score,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,Primary_schoolType,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety
SW-0131,51,21.069072806471684,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes
SW-0132,37,22.030714285714286,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-0239,20,20.55980087118855,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Malay,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-0343,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-0344,29,21.781692655636235,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,English,No,English,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,Yes,Yes,Yes,No
SW-0345,47,20.379091474797757,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,English,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,No
SW-0346,43,20.97050404480398,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,7,No,Yes,Yes,No
SW-0347,25,20.647417548226507,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,Yes
SW-0348,30,20.795270690728064,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,No,Yes,Yes,7,No,Yes,Yes,No
SW-0349,36,20.526944617299314,Female,Sri Lankan,Other,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,No,8,No,Yes,Yes,No
SW-0350,19,20.34897324206596,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-2025,44,22.101904761904763,Male,Malaysian,Malay-Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Left,No,English,Yes,English,English,Private school (international),Private school,No,Yes,No,No,9,No,No,Yes,No
SW-2107,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2109,26,20.425637834474173,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,4,No,Yes,Yes,Yes
SW-2110,56,21.1156191661481,Female,Malaysian,Chinese,Sophomore/Second Year,Not specified,"Yes, father only",Right,Yes,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,9,No,Yes,Yes,No
SW-2111,34,20.94312383322962,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,7,No,No,Yes,Yes
SW-2112,32,18.409308692676248,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,Yes,Yes
SW-2113,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2114,57,19.589960886571056,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English & Chinese,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,No,Yes,No
SW-2115,33,19.302477183833116,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,No
SW-2116,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2117,44,20.165525824517733,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,Yes,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,Yes,Yes,No
SW-2118,37,19.592698826597132,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,Yes,7,No,Yes,Yes,No
SW-2119,30,18.863791923340177,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes
SW-2120,33,19.948631029986963,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,NA,No,No,No,Yes
SW-2121,47,19.73780964797914,Male,Malaysian,Iban,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English & Iban,No,English,English,Public school (SK),Public school (SK),Yes,Yes,No,No,8,No,Yes,Yes,Yes
SW-2122,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2124,33,20.625513378967018,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,10,No,Yes,Yes,No
SW-2126,48,20.31337896701929,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,Yes,Yes,No
SW-2128,20,22.546201232032853,Female,Seychelles,Other,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Creole,Yes,Creole,Creole,Public school (SK),Public School,Yes,Yes,No,Yes,4,No,Yes,Yes,No
SW-2129,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2130,15,22.976043805612594,Female,Seychelles,Other,Sophomore/Second Year,Psychology,No,Right,No,Creole,Yes,Creole/English,Creole and English,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,5,No,Yes,Yes,Yes
SW-2131,28,20.70217797137523,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,No
SW-2132,42,19.50782268578879,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,Chinese,Private school (international),Private School,No,Yes,No,No,9,Yes,No,Yes,Yes
SW-2133,24,22.611909650924023,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,3,No,No,No,Yes
SW-2201,18,20.929433727442436,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,Yes,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,No,Yes,Yes,No
SW-2202,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2203,53,21.21692594897324,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,7,No,No,Yes,No
SW-2206,23,23.806264374110174,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-2207,45,20.672059738643433,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,No,No
SW-2208,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2209,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2210,49,19.190221642764016,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,Yes,9,No,No,Yes,No
SW-2211,20,23.64198882926295,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,Yes,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,4,No,Yes,Yes,Yes
SW-2212,35,20.45575606720597,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes
SW-2214,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2216,28,21.428333333333335,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,Malay,Malay & English,Public school (SK),Public school (SK),Yes,No,No,Yes,7,Yes,Yes,Yes,Yes
SW-2217,21,20.7980087118855,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-2218,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2219,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2220,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2221,38,20.518730553827005,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,Yes,English,Yes,English,Malay & English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,8,No,Yes,Yes,No
SW-2222,42,21.74595238095238,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,English,English,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,4,No,No,Yes,No
SW-2226,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2227,50,21.02252644679527,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Unspecified,NA,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-2228,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2229,40,20.767890479153703,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-2230,44,23.10198494182067,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Unspecified,NA,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-2231,32,21.789761904761907,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,NA,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,5,No,No,Yes,Yes
SW-2233,45,20.26957062850031,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,7,No,No,Yes,No
SW-2234,27,20.81169881767268,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,5,No,Yes,Yes,Yes
SW-2235,49,20.526944617299314,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,7,No,No,Yes,Yes
SW-2236,45,21.134785314250156,Male,Malaysian,Chinese,Junior/Third Year,Psychology,No,Right,No,English & Chinese,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,7,No,Yes,Yes,No
SW-2242,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2246,52,22.275154004106778,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,No
SW-2247,32,19.828161668839634,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,NA,Right,No,English,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-2248,37,23.65841638374767,Male,Malaysian,Chinese,Graduate Student,PhD Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,6,No,No,Yes,Yes
SW-2261,25,21.049906658369633,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, father only",Right,Yes,English,Yes,English,Malay,Private school (international),Private (International) School,Yes,Yes,No,No,7,No,Yes,Yes,Yes
SW-2262,14,22.926762491444215,Male,Maldivian,NA,Sophomore/Second Year,Psychology,"Yes, mother only",Right,Yes,Dhivehi,Yes,English,English,Private school (international),Private School,No,Yes,No,Yes,7,No,No,Yes,No
SW-2263,15,22.639288158795345,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,English,Yes,Malay,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,3,No,Yes,Yes,Yes
SW-2264,35,20.885625388923458,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,6,No,No,No,No
SW-2265,44,21.66107142857143,Female,Non-Malaysian,Other,Sophomore/Second Year,Psychology,"Yes, father only",Left,Yes,Japanese,Yes,English,English,Private school (international),Private school,Yes,Yes,No,Yes,6,No,Yes,Yes,No
SW-2266,39,20.756938394523957,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,No
SW-2273,27,19.95684485006519,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, both parents",Right,Yes,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,6,Yes,Yes,Yes,Yes
SW-2275,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2277,58,20.20385812072184,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,9,No,Yes,Yes,Yes
SW-2283,23,21.715833333333332,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,English,English,Chinese vernacular school,Chinese vernacular school,Yes,No,No,Yes,4,No,Yes,Yes,No
SW-2286,50,21.044430616054758,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,5,Unspecified,Unspecified,Unspecified,Unspecified
SW-2287,31,20.294212818917234,Male,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,6,No,Yes,Yes,No
SW-2288,23,20.14302477183833,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,7,No,Yes,Yes,No
SW-2289,26,24.209351305812973,Female,Malaysian,Eurasian,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,English,English,Public school (SK),Public school (SK),Yes,No,Yes,Yes,3,No,Yes,Yes,Yes
SW-2290,51,20.21754822650902,Female,Malaysian,Chinese,Sophomore/Second Year,NA,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Unspecified,Unspecified,No,Yes,Yes,Yes,10,No,No,Yes,No
SW-2291,55,19.357235984354627,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,Yes,No
SW-2293,50,20.53789670192906,Female,Malaysian,Chinese,Junior/Third Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,No,No,No
SW-2294,57,20.42837585563161,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Left,No,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,No,No,8,No,Yes,Yes,Yes
SW-2296,45,20.781580584940883,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,Yes,English,Yes,Unspecified,NA,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
SW-2297,41,19.54341590612777,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,9,No,No,Yes,No
SW-2245,60,21.35988095238095,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,Yes,No,10,No,Yes,Yes,No
UN-2333,60,20.866459240821406,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,10,No,Yes,No,No
UN-2334,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1505,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1506,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1507,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1508,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1509,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1510,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1511,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1512,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1513,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1514,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1515,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1516,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1517,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1521,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1522,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UM-1523,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-2127,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN-22002,44,20.275046670815183,Female,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,7,No,No,Yes,No
UN-22004,51,22.192261904761907,Female,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,9,No,Yes,Yes,Yes
UN-22005,60,23.121149897330596,Female,China Chinese,Chinese,Junior/Third Year,TESL/TESOL,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Unspecified,Unspecified,Unspecified,Unspecified,Undisclosed,Undisclosed,Undisclosed,Undisclosed,NA,Unspecified,Unspecified,Unspecified,Unspecified
UN-22006,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN-22008,58,22.082738095238096,Male,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,"Yes, both parents",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,Yes,Yes,No
UN-22009,60,28.003398791540786,Female,Malaysian,Eurasian,Junior/Third Year,TESL/TESOL,"Yes, father only",Right,No,English,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,No,10,No,Yes,Yes,No
UN-22010,48,23.137577002053387,Female,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,6,No,No,Yes,No
UN-22011,20,24.817186183656275,Male,Malaysian,Malay-Chinese,Junior/Third Year,TESL/TESOL,"Yes, both parents",Right,No,English,Yes,English,English,Homeschooling,Homeschooling,Yes,Yes,No,Yes,7,No,Yes,Yes,No
UN-22012,49,22.088214285714287,Female,Malaysian,Malay,Junior/Third Year,TESL/TESOL,"Yes, both parents",Right,No,Malay,Yes,English,English,Public school (SK),Public school (SK),Yes,Yes,Yes,No,9,No,Yes,Yes,No
UN-22015,40,21.32702380952381,Female,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,Yes,Yes,No
UN-22016,18,22.524298425735797,Female,Malaysian,Chinese,Junior/Third Year,TESL/TESOL,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,5,No,Yes,Yes,No
