participant,fluency_score,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,Primary_schoolType,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety
SW-2295,34,18.910335386721425,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,10,No,No,Yes,No
SW-2299,54,20.800746733042935,Female,Malaysian,Chinese,Senior/Fourth Year,Computer Science,NA,Right,No,English,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,No,Yes,Yes
UM-1518,46,19.01163586584531,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes
UM-1519,47,22.759753593429156,Male,Malaysian,Chinese,Junior/Third Year,Computer Science,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,Yes,No,6,No,No,Yes,No
UM-1520,32,21.60846297448662,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,No,No,No
UM-1524,28,21.50715619166148,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,7,No,Yes,Yes,No
UM-1526,46,19.249828884325805,Female,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, both parents",Right,No,English,Yes,Unspecified,Unspecified,Unspecified,Unspecified,Yes,Yes,Yes,Yes,6,No,Yes,No,Yes
UM-1527,32,17.860930969880386,Female,Indonesian,Other,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Bahasa Indonesia,Yes,Indonesian,Indonesian,Private school (international),Private school,Yes,Yes,No,No,8,No,Yes,Yes,Yes
UM-1528,43,18.937713894592743,Female,Malaysian,Chinese,Freshman/First Year,Psychology,NA,Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,10,No,No,No,No
UM-1530,48,21.307280647168636,Female,Malaysian,Chinese,Junior/Third Year,Computer Science,No,Right,Yes,Mandarin/Cantonese/chinese dialects,Yes,English & Chinese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,9,No,No,Yes,No
UM-1531,52,20.315514993481095,Female,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, father only",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,No,9,No,Yes,Yes,No
UM-1532,50,18.784394250513348,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,10,No,Yes,Yes,Yes
UM-1533,30,19.583846680355922,Female,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,7,No,Yes,Yes,No
UM-1534,24,19.370294318959616,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,7,No,Yes,Yes,No
UM-1535,45,18.874743326488705,Female,Malaysian,Chinese,Freshman/First Year,Not specified,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English & Chinese,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,No,Yes,Yes,Yes
UM-1536,43,20.271707953063885,Male,Malaysian,Punjabi,Sophomore/Second Year,Software Engineering,"Yes, father only",Left,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,Malay,English,Public school (SK),Public school (SK),No,Yes,No,Yes,7,No,No,Yes,No
UM-1537,46,19.422313483915126,Male,Malaysian,Chinese,Freshman/First Year,Not specified,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes
UM-1538,19,19.28268309377139,Male,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, both parents",Right,Yes,English,Yes,Malay,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,No,Yes,No
UM-1539,54,19.27173169062286,Female,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,8,No,No,Yes,Yes
UM-1541,40,18.902121834360027,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,No,9,No,Yes,No,No
UM-1543,38,19.38398357289528,Female,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, both parents",Right,No,NA,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,No,No,Yes,4,Yes,No,Yes,Yes
UM-1544,31,20.61942633637549,Male,Malaysian,Chinese,Freshman/First Year,Psychology,No,Right,No,English,Yes,English,English,Public school (SK),Public school (SK),No,No,No,Yes,6,No,No,Yes,No
UM-1545,53,21.50715619166148,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science,"Yes, both parents",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,8,No,Yes,Yes,Yes
UM-1546,47,23.422313483915126,Male,Malaysian,Chinese,Sophomore/Second Year,Computer Science,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,9,No,No,Yes,Yes
UM-1548,38,18.95687885010267,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,No,No,Yes
UM-1549,27,18.798083504449007,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,NA,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,No,Yes,8,No,Yes,Yes,Yes
UM-1551,40,19.800782268578878,Male,Malaysian,Chinese,Sophomore/Second Year,IT/Network Security/Data,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,No,No,No
UM-1552,27,19.696098562628336,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, father only",Right,No,English,Yes,English,English,Private school (international),Private school,No,Yes,No,Yes,7,No,Yes,Yes,Yes
UM-1554,45,20.704302477183834,Female,Malaysian,Chinese,Sophomore/Second Year,Computer Science,"Yes, father only",Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,6,No,Yes,Yes,Yes
UM-1559,30,21.257996266334786,Male,Malaysian,Chinese,Freshman/First Year,IT/Network Security/Data,No,Left,Yes,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,6,Yes,Yes,Yes,Yes
UM-1560,26,18.115578613633087,Female,Indian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,English,Yes,English,English,Private school (international),Private (International) School,No,Yes,No,Yes,5,No,Yes,Yes,Yes
UN-2362,37,18.044386799250614,Female,Indian,Indian,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Hindi/Bengali/Tamil/Gujarati/Urdu,Yes,English,English,Private school (international),Private school,No,Yes,No,No,7,No,No,Yes,Yes
SW-2701,54,18.622135754431476,Male,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Left,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,No,8,No,No,Yes,Yes
SW-2702,39,19.20602327173169,Male,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,Yes,Yes,No,Yes,5,No,No,No,No
SW-2703,48,19.43600273785079,Female,Malaysian,Chinese,Freshman/First Year,Not specified,"Yes, mother only",Right,No,English & Chinese,Yes,Mandarin Chinese/ Cantonese,English,Chinese vernacular school,Chinese vernacular school,No,Yes,Yes,Yes,10,No,No,Yes,Yes
SW-2704,33,19.26899383983573,Female,Malaysian,Eurasian,Freshman/First Year,Psychology,No,Right,No,NA,Yes,English,English,Public school (SK),Public school (SK),No,Yes,No,Yes,8,No,No,Yes,No
SW-2707,25,19.392197125256672,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,Yes,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),Yes,Yes,Yes,Yes,7,No,Yes,Yes,Yes
SW-2708,38,19.690622861054074,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, mother only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,8,No,No,Yes,Yes
SW-2709,48,19.238877481177276,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,No,Yes,No,Yes,9,No,No,No,No
SW-2710,25,19.10198494182067,Female,Malaysian,Chinese,Freshman/First Year,Psychology,"Yes, both parents",Left,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,7,No,No,Yes,Yes
SW-2711,23,19.145790554414784,Female,Malaysian,Malay,Freshman/First Year,Psychology,"Yes, both parents",Right,Yes,Malay,Yes,Malay,Malay,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,No,Yes,Yes,No
